NomeDP,Tempo,Valor,Processado,Comentário
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:45:52,-46.01000000000204,"-46,01",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:45:53,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:45:56,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:45:59,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:02,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:03,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:04,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:05,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:06,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:08,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:09,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:11,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:12,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:13,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:15,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:18,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:19,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:20,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:21,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:24,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:25,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:26,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:28,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:29,244.97299999999814,"244,97",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:30,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:31,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:32,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:33,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:34,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:36,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:38,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:40,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:42,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:43,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:44,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:45,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:46,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:50,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:52,-46.01000000000204,"-46,01",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:53,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:55,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:46:58,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:00,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:01,-46.01000000000204,"-46,01",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:02,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:03,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:04,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:05,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:06,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:08,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:09,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:11,-19.5570000000007,"-19,56",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:12,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:13,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:15,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:16,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:18,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:20,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:21,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:22,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:23,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:24,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:25,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:26,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:28,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:29,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:30,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:31,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:32,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:47:33,59.80199999999604,"59,8",
